nama,email,handphone,perusahaan,program,batch,status,concern,sumber
Adlai Mosby,amosbyu@gmpg.org,795-643-5414,Feedfish,Sertifikasi Digital Marketing,5,refollow up,Ocellularia Lichen,wordpress
Rachael Jedrzejkiewicz,rjedrzejkiewiczv@tuttocitta.it,388-391-8185,Oyondu,Sertifikasi Subsidi Social Media,4,rapot,Giant Bellflower,kontak
Giacopo Josifovic,gjosifovicw@icq.com,536-456-5951,Riffpedia,Sertifikasi Subsidi Digital Marketing,3,refollow up,Hypnum Moss,kontak
Osmund Swarbrick,oswarbrickx@economist.com,962-356-9147,Cogilith,Sertifikasi Digital Marketing,6,program,Hemp,wordpress
Coriss MacFadden,cmacfaddeny@nsw.gov.au,455-158-3196,Zooveo,Sertifikasi Digital Marketing,6,rapot,Rescuegrass,kontak
Ailina Bunney,abunneyz@ovh.net,842-891-4447,Skimia,Sertifikasi Digital Marketing,4,program,Carrasco,whatsapp
Guillemette Cornelius,gcornelius10@webmd.com,812-629-8929,Twitterworks,Sertifikasi Subsidi Digital Marketing,5,schedule,Honey Bluestem,kontak
Kimberly Fourcade,kfourcade11@posterous.com,942-838-9294,Npath,TikTok,3,schedule,Pan American Balsamscale,kontak
Terrence Rouzet,trouzet12@free.fr,224-138-0122,Meedoo,Sertifikasi Sosial Media,1,program,Philippine Lily,whatsapp
Egor Cashin,ecashin13@dailymail.co.uk,419-693-3116,Shuffledrive,Sertifikasi Sosial Media,4,schedule,Olive Clover,whatsapp
Letizia Waller-Bridge,lwallerbridge14@g.co,318-801-8992,Feedfire,Sertifikasi Subsidi Social Media,5,program,Cream Milkvetch,wordpress
Farris Milmo,fmilmo15@webs.com,866-505-2727,Skimia,Sertifikasi Sosial Media,5,schedule,Muttongrass,kontak
Aurelie Deddum,adeddum16@stanford.edu,334-139-7533,Oozz,Sertifikasi Digital Marketing,2,refollow up,Navel Cornsalad,wordpress
Rene Grayshan,rgrayshan17@exblog.jp,638-448-7670,Rhynyx,Sertifikasi Subsidi Digital Marketing,10,refollow up,Wild Sugarcane,whatsapp
Trueman Garralts,tgarralts18@nytimes.com,372-743-4599,Lajo,Sertifikasi Subsidi Social Media,3,refollow up,Lance Pottia Moss,wordpress
Georgetta Bottom,gbottom19@blogger.com,408-771-2808,Eare,Sertifikasi Subsidi Digital Marketing,7,refollow up,Pacific Bristlystalked Sedge,kontak
Dorene Commin,dcommin1a@yolasite.com,314-594-4910,DabZ,Sertifikasi Digital Marketing,4,schedule,Great Basin Brome,kontak
Lind Duham,lduham1b@trellian.com,879-885-2019,Trudoo,Sertifikasi Subsidi Digital Marketing,6,program,Swamp Fly Honeysuckle,kontak
Josephina Matej,jmatej1c@linkedin.com,448-207-4991,Tagcat,Sertifikasi Sosial Media,6,schedule,Kosrae Syzygium,wordpress
Celesta Cowherd,ccowherd1d@exblog.jp,491-920-2309,Yodoo,TikTok,4,program,Needle Lichen,kontak
